Departamento;Total;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 y más
Amazonas;207863;22343;21857;23459;18984;16898;15748;17282;15112;12765;9760;8472;7216;5576;4487;3122;2192;2590
Áncash;589223;52106;49281;51826;44661;47977;49017;48141;42690;36606;30817;29519;26266;21844;18561;13730;10920;15261
Apurímac;210201;20743;20695;22282;18087;15786;16546;20061;15932;11821;9004;8624;8022;6258;5274;3943;3339;3784
Arequipa;776125;58049;54409;55684;56224;66464;65810;57879;56896;54203;50046;45692;39029;32594;27265;20578;14465;20838
Ayacucho;326668;33041;32363;34084;29057;27015;28584;26797;21930;17555;14690;13341;12621;10078;8423;6231;4936;5922
Cajamarca;727255;67505;69350;77756;66185;60080;59394;57981;51605;45692;36746;32152;27417;22090;18119;13313;9913;11957
Prov. Const. Callao;591161;44198;40250;40405;38979;47796;48699;43046;42917;42503;39648;35845;30888;26773;23408;17387;11767;16652
Cusco;676583;62104;59724;64657;57559;57288;59451;56137;49085;41263;33075;31014;28564;23233;18560;13401;9516;11952
Huancavelica;177521;18757;19163;21427;18013;14390;13626;13756;12198;9403;7025;6464;5808;4563;4178;3278;2518;2954
Huánuco;374996;37307;36804;39983;35448;33306;32572;28442;26227;23045;18008;15571;13253;10446;8596;6222;4382;5384
Ica;497608;46461;42939;43776;41464;42802;41713;36161;32950;29458;27258;25148;22608;19020;15161;11503;8081;11105
Junín;686597;64046;62230;63656;58164;56301;56779;55697;48451;39515;35810;32932;28661;24689;20602;15152;10910;13002
La Libertad;1032621;91775;82860;82164;75364;89955;88585;83524;77473;66927;57332;52652;45222;38998;32579;24105;18154;24952
Lambayeque;680339;56311;53891;55876;51384;57029;54929;50589;47821;43838;40786;37647;32662;27641;23273;17195;12291;17176
Lima;5606249;358036;325599;347035;364498;472718;477619;431657;437824;422949;399532;358241;307155;253154;216568;159650;117803;156211
Loreto;501365;60640;57331;56762;47366;44795;39740;38024;33403;27207;21184;17649;15515;12787;10297;7405;4924;6336
Madre de Dios;78293;7675;6680;6763;6128;7738;7769;7107;6575;5067;3771;3781;3148;2346;1561;913;549;722
Moquegua;90971;6408;6384;6557;6162;6627;6571;6615;6752;6626;6493;6177;5274;4309;3429;2477;1803;2307
Pasco;131029;11810;11953;13223;11289;10592;9815;9668;9918;8755;7091;6525;5646;4212;3471;2571;1795;2695
Piura;1030681;88812;85780;91427;82960;87474;91041;79347;73757;69868;57916;50882;44013;38722;32612;21200;15073;19797
Puno;623879;53823;53632;55340;51784;51032;51349;48169;43286;38151;36051;31725;27040;22304;18505;14891;11355;15442
San Martín;432026;45086;43562;44769;39681;37204;34657;32328;29960;26990;22349;19985;17409;12954;9397;6395;4200;5100
Tacna;185975;12602;11929;12410;12808;15401;14965;14532;14551;14675;13189;12458;10716;8167;6328;4431;3107;3706
Tumbes;117811;10410;9889;10131;9371;9909;9219;8669;8439;7917;7522;6853;5613;4503;3591;2336;1520;1919
Ucayali;288087;33510;29944;28588;24104;26262;24369;20588;20437;18223;14593;12376;10568;8098;6287;4284;2652;3204
