EDADES;MUJERES;HOMBRES;TOTAL
TOTALES;16641127;16394177;33035304
 0 - 4;1363558;1429061;2792619
 5 - 9;1288499;1313359;2601858
 10 - 14 ;1350040;1362451;2712491
 15 - 19 ;1265724;1228918;2494642
 20 - 24 ;1402839;1249221;2652060
 25 - 29 ;1398567;1330977;2729544
 30 - 34 ;1292197;1328246;2620443
 35 - 39 ;1226189;1262203;2488392
 40 - 44 ;1121022;1170794;2291816
 45 - 49 ;999696;992814;1992510
 50 - 54 ;901725;893909;1795634
 55 - 59 ;780334;783444;1563778
 60 - 64 ;645359;610966;1256325
 65 - 69 ;540532;503321;1043853
 70 - 74 ;395713;382384;778097
 75 - 79 ;288165;258224;546389
 80 y más ;380968;293885;674853
1;0;0;0
1;0;0;0
1;0;0;0
1;0;0;0
