Departamento;Total;0 - 4;5 - 9;10 - 14;15 - 19;20 - 24;25 - 29;30 - 34;35 - 39;40 - 44;45 - 49;50 - 54;55 - 59;60 - 64;65 - 69;70 - 74;75 - 79;80 y más
Amazonas;220649;23562;23114;24375;20082;17083;16545;17880;16209;14610;10963;9780;8165;6440;4837;3226;1968;1810
Áncash;599168;55325;50383;52767;42870;44072;48745;50139;45481;40911;33570;31974;28083;21230;17760;14016;10037;11805
Apurímac;220408;21833;21681;22980;18399;15908;17265;20989;18874;15268;11523;8434;7837;6246;4821;3608;2496;2246
Arequipa;750544;60646;54328;55622;52384;57658;62039;59302;57643;54512;47475;44482;38990;30835;25527;19669;13093;16339
Ayacucho;343311;35249;34617;36489;31115;28209;30912;30759;25481;20513;16782;13516;11774;9249;6940;4893;3541;3272
Cajamarca;727990;70871;72152;80819;69323;59923;60402;59301;53175;48220;37046;30388;25045;20041;15697;11077;7053;7457
Prov. Const. Callao;560319;45963;39543;38512;33854;37360;39760;38246;40668;44117;40989;37959;32367;24764;21484;17401;12307;15025
Cusco;693349;65035;62249;67266;58920;55754;59773;60784;54312;46584;36581;31084;27904;22628;16842;12056;7547;8030
Huancavelica;180835;19667;19867;22520;19135;15721;15132;14732;12748;10156;7234;5293;5343;4525;3271;2297;1619;1575
Huánuco;383420;39225;38647;42079;37187;33953;34145;30357;28071;25084;18520;14248;12128;9812;7515;5347;3574;3528
Ica;500536;49276;45048;45034;42167;41907;42467;38464;34165;30055;26592;23745;22604;17742;14426;11083;7496;8265
Junín;682406;66688;64267;65917;59204;55670;56312;56472;50381;43019;37441;31430;26401;21367;17439;12890;8490;9018
La Libertad;1015871;96852;82722;80451;67571;74155;81201;85587;81450;72250;59127;56268;49358;37930;31425;24045;17295;18184
Lambayeque;645573;58746;54618;55349;47878;49492;50217;51729;46298;41714;36324;35732;31056;24813;21498;15914;10750;13445
Lima;5208201;373090;323090;337183;328740;377183;421290;425819;423180;405225;355667;331662;293183;225563;193907;156878;107334;129207
Loreto;535690;63825;59120;58450;49464;42430;40240;40463;37527;32940;25906;21184;18472;14920;12047;8849;5422;4431
Madre de Dios;101395;8530;7398;7214;6109;7131;8420;9009;8932;8110;7117;6639;6061;4167;3027;1656;818;1057
Moquegua;104214;6802;6544;6945;6585;6584;6752;7248;8191;9503;8668;7893;6400;4938;4089;3032;1908;2132
Pasco;139813;12450;12568;13724;11723;10829;10576;10617;11704;10901;9409;7355;5589;4256;3120;2196;1388;1408
Piura;1046358;92991;88525;94071;84766;82813;91418;85849;78954;73341;58248;52318;46419;37439;31178;20226;13682;14120
Puno;609398;55259;54733;56223;52293;50399;53845;51426;44876;38925;35519;28781;23636;19447;15673;11607;8019;8737
San Martín;480648;47594;45525;46605;41028;36910;35220;34518;34347;33439;29189;26128;23625;17687;11971;7762;4572;4528
Tacna;191867;12974;11673;12553;12713;14039;14701;15327;15839;16653;14203;13121;11657;8785;6768;4806;3083;2972
Tumbes;137901;11518;10885;11029;10302;9991;9609;10296;10599;12157;10186;8249;7200;5566;4245;2897;1690;1482
Ucayali;314313;35090;30062;28274;25106;24047;23991;22933;23098;22587;18535;16246;14147;10576;7814;4953;3042;3812
